rung,AlF,Ar,BF,BH2,BH2F,BH3,BH4-,BHF2,BO,BS,BeH,BeH2,C2H,C2H-,C2H2,C2H4,CH2-t,CH2BH,CH3,CH3-,CH3Cl,CH4,CN,CN-,CO,CO2,CS,CSO,Cl-,Cl2,ClCN,ClF,F-,F2,FCN,H,H-,H2,H2CN,H2O,HBO,HBS,HCCCl,HCCF,HCHS,HCN,HCP,HCl,HF,HNC,He,Li,LiBH4,LiCl,LiH,Mg,Mg2,N,N2,NH,NH2,NH2-,NH3,NH3O,NP,Na,Na2,NaCl,NaH,NaLi,Ne,O2,O3,OCl2,OF2,OH-,P,P2,PH,PH2,PH3,PH3O,S2,SCl2,SH-,SH2,SO-trip,SO2,SiH3,SiH3Cl,SiH3F,SiH4,SiO
Rung 1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Rung 2,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Rung 3,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,8,8,8,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Rung 4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Rung 5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Rung 6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Rung 7,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Rung 8,9,9,9,9,9,9,4,9,9,9,9,9,9,4,9,9,9,9,9,4,9,9,9,4,9,9,9,9,4,9,9,9,4,9,9,8,4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,9,9,6,6,6,9,9,9,9,4,9,9,9,6,6,6,6,6,9,9,9,9,9,4,9,9,9,9,9,9,9,8,4,9,9,9,9,9,9,9,9
Rung 9,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,5,5,4,4,4,6,6,6,6,6,6,6,6,4,4,3,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
WFT / MP2 ref,3,3,3,6,3,3,3,3,6,6,5,3,6,2,3,3,6,3,7,3,3,3,6,3,3,3,3,3,3,3,3,3,3,6,3,6,3,3,6,3,3,3,3,3,6,3,6,3,4,3,3,5,3,3,3,2,2,6,3,7,6,3,3,3,6,4,4,3,3,4,3,6,6,3,6,3,6,6,7,6,3,3,6,3,3,3,6,3,6,3,3,3,3
