,HF,MP2,CCSD,Slater,SPW92,B97-D3,BLYP,BPBE,mPW91,PBE,B97M-V,M06-L,mBEEF,MGGA_MS2,MN15-L,revM06-L,SCAN,TPSS,B3LYP,M06-2X,PBE0,M08-HX,MN15,SCAN0,CAM-B3LYP,wB97X-D,wB97X-V,wB97M-V
AlF,0.681486706203139,0.14489802973800806,0.15312637958934444,1.5998239317456686,0.5862520040974017,0.43409328739357744,0.6267441391712092,0.3461641761124385,0.4474304697959674,0.5755109323309477,0.4332954830111818,0.33626053317182497,0.1703416859342911,0.270253768998103,1.4929393690965616,0.46077283568770266,0.27720806521851654,0.39686224310313695,0.270287321340606,0.060061592496702926,0.18442567572608576,0.2820710375363979,0.7022652631708785,0.11798140682106087,0.23787690733646258,0.14036417287160566,0.3235743546332538,0.3964205393153589
Ar,0.1545528,0.054824500000000005,0.0383699,1.1672847,0.5052063,0.0566358,0.6228816,0.2166837,0.3164526,0.4074856,0.10248650000000001,0.22957399999999997,0.18502770000000002,0.0173111,0.3481942,0.1037824,0.0893894,0.224409,0.3926675,0.20866040000000002,0.1652587,0.281431,0.11841140000000001,0.0271443,0.43533510000000003,0.04680669999999999,0.26331970000000005,0.47116759999999996
BeH,1.2521332815925108,0.5454347038942242,0.10288621867291069,3.9792571817827844,2.237909846416288,1.5090019951707088,1.334176858305708,0.9076110341141241,1.1342906563619677,1.394085538430422,2.913738199762219,0.986695579601059,0.3541680608591774,0.37841890167115066,2.7501481311725957,0.9428647387055189,0.713809253247773,0.7885548320909609,0.7641349195268093,1.2124120343422198,0.7162481174950921,1.1966558777270153,3.20152944577596,0.5042431256237511,0.726335071905357,0.8845455560064199,0.7416358981898035,2.586087728119088
BeH2,0.7739285675173259,0.2288008637646356,0.06845457274869712,3.753022708381289,2.0591274253166243,0.8615867237785642,1.1833419756341739,0.7479564705828542,0.9538758029113852,1.1934731792713051,1.7444990530573317,0.5805623261144491,0.4793051891247336,0.26378217625841716,2.282235520312996,1.367154664824463,0.4969171781410225,0.2619325964965351,0.7237805364265654,0.5884248454045257,0.61896082979369,1.0024559819353815,1.43619192510139,0.3081053575924638,0.928565597410147,0.6678640743768226,0.7097884222416141,1.3700093861366862
BF,0.8515667583234428,0.3990870524470653,0.16687742125543326,2.1883706602617523,1.0745081389579327,0.5986185332834425,0.9990803788050189,0.5589409136403686,0.6998474685793898,0.8439969089142151,0.606006848654298,0.31910198399138795,0.28519674115483856,0.38048803919544344,1.1428078689745578,0.6795593353444545,0.4348295072976074,0.4879016007406514,0.6162826933187182,0.3090102984613565,0.4233741635137175,0.4741964259695483,0.5416201190414182,0.3235258660484661,0.6722365707594538,0.42169720627594465,0.5977183340453149,0.780493853961708
BH2,0.5176371823766914,0.1287111152924771,0.059480263181225644,2.922294220382612,1.367377298887675,0.41866695238732815,0.9983976197667908,0.4017692058332827,0.6002902070136132,0.8139664545328389,1.0970017425673488,0.9165150562039774,0.26023188685660714,0.14717891071565473,1.7778954781944374,0.8275100817739403,0.11948170585632208,0.1765063580640841,0.5666332048126401,0.5750161808455916,0.3224697157626537,0.7840322218608196,1.178628235210337,0.11626940413351801,0.6522874608794423,0.29067343943691637,0.6319468305711513,1.377778525716648
BH2F,0.35231510404783956,0.11395406780975395,0.09814610300293197,1.5217820817040415,0.7285234099491611,0.31370695932064263,0.6962746124447212,0.3182509918086562,0.4223510483568102,0.5355436534241598,0.5206102865271616,0.3114797351691759,0.19232877809119814,0.10391738134106022,0.8610639139311185,0.5792320574391379,0.14342105037157785,0.2371095883152837,0.3596612343514658,0.14002196083606552,0.1512476511084277,0.35966201291821653,0.3500265709673767,0.05892719109672545,0.4282895778813053,0.06314357073822587,2.2393758078773067,2.3115501613089666
BH3,0.5102522252872461,0.08091124660400019,0.04523988159136214,2.178528976119649,0.9915222112211792,0.40313915825543006,0.7686643863698404,0.21392801405570205,0.3833343066747092,0.5383789721837273,0.7857753820286814,0.5846255913314863,0.31285581083038344,0.13273575879852223,1.468782365240983,0.8736713262190136,0.15159750083417164,0.16580838749827062,0.47525717060281863,0.35914260760083405,0.2170568691177038,0.6365706598731571,0.6870666496866928,0.08646780249018243,0.6272456620983654,0.1559420592001401,2.6847141542339563,0.8943700552299851
BO,0.3550181572227257,0.04992537985223548,0.1313354388113505,1.4721956813166448,0.6187490780991705,0.22687916067066038,0.6132305246823987,0.19482804381754182,0.3166051906756268,0.4519440981770238,0.2838454582838638,0.5700255817058828,0.2274014047630093,0.05174906126610736,0.5898560928244617,0.33400618923982534,0.09924579001697788,0.1926204166090483,0.2405140978296906,0.22544989306056454,0.07481230174363038,0.30071997135037437,0.3439480435504612,0.27883011716151945,0.2882545485539474,0.1056021377567077,0.2637090278895661,0.6039321894774473
BS,0.6545210909705127,2.1017207136569285,0.12188245579774803,1.2021987538398133,0.3432274287425322,0.17279483522808198,0.41920884114513857,0.1349002106254595,0.12873107339571102,0.21191345877776774,0.16433060035650693,0.6122954116049322,0.3752264148248761,0.21400812635769229,0.758493464439802,0.3023426154937529,0.09508591670499895,0.12227745887208047,0.24924943404978878,0.28462339861049724,0.09362529792337111,0.44880424639673744,0.2908192713289074,0.22498102188515814,0.3190814267821669,0.1764470237109333,0.2661935295877043,0.583553308929209
C2H,0.8679686328062669,1.3737148681410007,0.061127020779602866,1.4802016917046001,0.7604332401870616,0.6569196213596176,0.6748515167062752,0.6800647518391834,0.6489400566624574,0.6632794262582927,0.8230456545903331,1.031253495170436,0.865121449593366,0.8080883645357533,1.2796073244484378,0.8910978153368387,0.8584405437782069,0.7090304259977588,0.7892273924990039,0.9181319890078551,0.8696542796964225,0.9559123947735152,0.758709175461237,0.9708573557763209,0.8894749236065831,0.924919833957504,0.9165408052621953,1.0229279572743215
C2H2,1.1114228374519468,0.08003154520564583,0.08075676684847571,1.572616322243442,0.4894188231538369,0.21097793283420266,0.6134766939917902,0.0996596440775971,0.2161880200881168,0.3325462285648618,0.29106788795909794,0.6235812946772831,0.13386043788144258,0.0046324268748356955,1.067226354090267,0.25279210931946955,0.14480610909219263,0.13846920654069625,0.4508046917976305,0.39364533060477164,0.2662281731356018,0.47341529251876024,0.3277199002600086,0.32755198495047566,0.5514192104892066,0.2446945557622128,0.44031836427948357,0.7303333957011278
