method,,HF,HF,HF,MP2,MP2,MP2,CCSD,CCSD,CCSD,CCSD\(T\),CCSD\(T\),CCSD\(T\)
component,,XX,YY,ZZ,XX,YY,ZZ,XX,YY,ZZ,XX,YY,ZZ
molecule,basis,,,,,,,,,,,,
Ar,5Z,0.694399215,0.694399215,0.694399215,0.693864534,0.693864534,0.693864534,0.692929121,0.692929121,0.692929121,0.6933419,0.6933419,0.6933419
Ar,QZ,0.694476537,0.694476537,0.694476537,0.694382774,0.694382774,0.694382774,0.693444055,0.693444055,0.693444055,0.69388455,0.69388455,0.69388455
Ar,TZ,0.69479763,0.69479763,0.69479763,0.69562777,0.69562777,0.69562777,0.695000555,0.695000555,0.695000555,0.695466027,0.695466027,0.695466027
Ar,CBS,0.694399215,0.694399215,0.694399215,0.693401931,0.693401931,0.693401931,0.692469988,0.692469988,0.692469988,0.692853687,0.692853687,0.692853687
Be,5Z,0,0,0,0,0,0,0,0,0,0,0,0
Be,QZ,1.186762678,1.222718002,1.186762678,1.068516178,1.252782905,1.252782905,1.163889885,1.165489026,1.165489026,1.164179825,1.164201299,1.164201299
Be,TZ,1.219079473,1.187099361,1.190687319,1.072643621,1.25330663,1.25330663,1.165263776,1.166673551,1.166673551,1.165623082,1.165676701,1.165676701
Be,CBS,0,0,0,0,0,0,0,0,0,0,0,0
BeH,5Z,0,0,0,0,0,0,0,0,0,0,0,0
BeH,QZ,0.989126445,0.989126445,1.646741657,0.990394652,0.990394652,1.634667329,0.993303365,0.993303365,1.627829671,0.994188905,0.994188905,1.626594579
BeH,TZ,0.989517225,0.989517225,1.647393287,0.991933249,0.991933249,1.639043845,0.994993257,0.994993257,1.629918579,0.995872273,0.995872273,1.628873316
BeH,CBS,0,0,0,0,0,0,0,0,0,0,0,0
BeH2,5Z,0,0,0,0,0,0,0,0,0,0,0,0
BeH2,QZ,0.901701972,0.901701972,1.90012588,0.900671765,0.900671765,1.891045863,0.901476362,0.901476362,1.88826537,0.90207241,0.90207241,1.887459784
BeH2,TZ,0.902052328,0.902052328,1.900504078,0.902234061,0.902234061,1.893159917,0.903037265,0.903037265,1.890232645,0.903636895,0.903636895,1.889498465
BeH2,CBS,0,0,0,0,0,0,0,0,0,0,0,0
BF,5Z,0,0,0,0,0,0,0,0,0,0,0,0
BF,QZ,0.743617058,0.743617058,1.447253179,0.750926219,0.750926219,1.43911877,0.745975509,0.745975509,1.435012814,0.747775869,0.747775869,1.43374006
BF,TZ,0.7440026,0.7440026,1.447509532,0.752375412,0.752375412,1.440067922,0.747503583,0.747503583,1.435829255,0.749293122,0.749293122,1.434687904
BF,CBS,0.743617058,0.743617058,1.447253179,0.750150041,0.750150041,1.438613214,0.745141769,0.745141769,1.434604101,0.746950026,0.746950026,1.433235459
BH3,5Z,0,0,0,0,0,0,0,0,0,0,0,0
