method,,hf,hf,hf,MP2,MP2,MP2,CCSD,CCSD,CCSD,CCSD\(T\),CCSD\(T\),CCSD\(T\)
component,,XX,YY,ZZ,XX,YY,ZZ,XX,YY,ZZ,XX,YY,ZZ
molecule,basis,,,,,,,,,,,,
Ar,5Z,0.6943992145772888,0.6943992145772888,0.6943992145772888,0.6938645337196355,0.6938645337196355,0.6938645337196355,0.6929291211032922,0.6929291211032922,0.6929291211032922,0.693341899779145,0.693341899779145,0.693341899779145
Ar,QZ,0.694476536916675,0.694476536916675,0.694476536916675,0.694382773943698,0.694382773943698,0.694382773943698,0.6934440546059526,0.6934440546059526,0.6934440546059526,0.6938845501713995,0.6938845501713995,0.6938845501713995
Ar,TZ,0.6947976299094419,0.6947976299094419,0.6947976299094419,0.6956277704724935,0.6956277704724935,0.6956277704724935,0.695000555015371,0.695000555015371,0.695000555015371,0.6954660269949697,0.6954660269949697,0.6954660269949697
Ar,CBS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Be,5Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Be,QZ,1.186762678445021,1.2227180019836954,1.186762678445021,1.0685161783884352,1.252782904829442,1.252782904829442,1.1638898846230314,1.1654890258928556,1.1654890258928556,1.164179824857918,1.1642012990397173,1.1642012990397173
Be,TZ,1.2190794733014745,1.1870993609319314,1.1906873188625131,1.0726436209632388,1.2533066299708622,1.2533066299708622,1.165263776421097,1.166673550694806,1.166673550694806,1.1656230822942772,1.1656767005375428,1.1656767005375428
Be,CBS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BeH,5Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BeH,QZ,0.9891264445863329,0.9891264445863329,1.646741656796379,0.9903946519394309,0.9903946519394309,1.6346673285258884,0.9933033654463264,0.9933033654463264,1.6278296711211742,0.9941889048949034,0.9941889048949034,1.6265945789454386
BeH,TZ,0.989517225448855,0.989517225448855,1.6473932870890393,0.9919332494989669,0.9919332494989669,1.639043844879562,0.9949932568468435,0.9949932568468435,1.6299185786328636,0.9958722729178535,0.9958722729178535,1.628873315669377
BeH,CBS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BeH2,5Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BeH2,QZ,0.9017019724942383,0.9017019724942383,1.9001258799818008,0.9006717653699997,0.9006717653699997,1.8910458633335068,0.9014763620040716,0.9014763620040716,1.8882653698864154,0.9020724100476277,0.9020724100476277,1.8874597838331995
